Unnamed: 0,sender,date,parsed_datetime,date_only,week,month,year,days_since,email_body,company,subject,true_label
512,recruiting@cohere.com,"3/2/25, 12:00 AM",2025-03-02 00:00:00,2025-03-02,9,3,2025,40,"Cohere

Micheal Gary Scott,

Thank you for your interest in the Healthcare Data Analyst position at Cohere. At this time we're sorry to let you know we're moving forward with other candidates.

Please continue to visit our careers page for future opportunities.

Cohere Talent Acquisition Team",Cohere,Your job application status,rejection
393,Stryker Careers <noreply@stryker.com>,"2/1/25, 12:00 AM",2025-02-01 00:00:00,2025-02-01,5,2,2025,69,"Dear Michael Gary Scott,

Thank you for your interest in the Customer Success Manager position at Stryker and for taking the time to apply.

After careful consideration, we regret to inform you that we have decided not to move forward with your application at this time. We received many qualified applicants and this was a difficult decision.

We encourage you to apply for future openings that match your skills and experience. We wish you the best in your career search.

Sincerely,
Stryker Talent Acquisition",Stryker,Update on your Stryker application,rejection
945,recruiting@pwc.com,"4/14/25, 12:00 AM",2025-04-14 00:00:00,2025-04-14,16,4,2025,-3,"Hi Michael Gary Scott,

Great news! After reviewing your application for the Data Engineer role, we'd like to move forward with an interview.

Please use the following link to schedule your interview:
[Scheduling Link]

The phone screen will last approximately 30 minutes and will cover your background, experience, and interest in the role.

If you have any questions, feel free to reach out to me directly.

Best,
Samantha Young
Recruiter, PwC",PwC,Schedule your interview with PwC,interview
1467,recruiting@coursera.com,"2/5/25, 12:00 AM",2025-02-05 00:00:00,2025-02-05,6,2,2025,65,"Dear Michael Gary Scott,

Thank you for your interest in the Full Stack Developer position at Coursera. We want to let you know that we have received your application materials.

Our recruiting team reviews every application thoroughly. We will be in contact with you regarding the status of your application.

Please do not reply to this automated message.

Sincerely,
Coursera Human Resources",Coursera,We received your application for Full Stack Developer,in_process
60,no-reply@atlassian.com,"2/11/25, 12:00 AM",2025-02-11 00:00:00,2025-02-11,7,2,2025,59,"Hi Michael Gary Scott,

Fantastic news - we'd love to have you join us at Atlassian! I'm pleased to extend a formal offer for the Solutions Architect position.

The details:
- Compensation: $105,000 annually
- Start date: March 13, 2025
- Reports to: Jennifer Lee

We've attached the full offer package for your review. Take your time looking through it and let me know if you have any questions.

We're really excited about this!

James Williams
Atlassian",Atlassian,Your Atlassian offer,acceptance
1636,recruiting@edx.com,"1/19/25, 12:00 AM",2025-01-19 00:00:00,2025-01-19,3,1,2025,82,"Dear Michael Gary Scott,

Thank you for applying to the Business Analyst position at edX. We have received your application and our recruiting team will review your qualifications carefully.

If your background aligns with our requirements, a member of our team will reach out to discuss next steps. Please note that due to the high volume of applications, this process may take several weeks.

In the meantime, you can track your application status through our careers portal.

Best regards,
edX Talent Acquisition",edX,Thank you for applying to edX!,in_process
361,no-reply@confluent.com,"2/18/25, 12:00 AM",2025-02-18 00:00:00,2025-02-18,8,2,2025,52,"Confluent

Micheal Gary Scott,

Thank you for your interest in the Pricing Analyst position at Confluent. At this time we're sorry to let you know we're moving forward with other candidates.

Please continue to visit our careers page for future opportunities.

Confluent Talent Acquisition Team",Confluent,Your job application status,rejection
1426,Asana HR <hr@asana.com>,"3/14/25, 12:00 AM",2025-03-14 00:00:00,2025-03-14,11,3,2025,28,"Hi Michael Gary Scott,

We've received your application for the Backend Engineer position (Job ID: 397189) at Asana. Thank you for your interest in joining our team!

Our hiring team is currently reviewing all applications. We'll be in touch if we'd like to move forward.

We appreciate your patience during this process.

Regards,
The Asana Recruiting Team",Asana,Application received: Backend Engineer at Asana,in_process
1202,no-reply@stryker.com,"2/7/25, 12:00 AM",2025-02-07 00:00:00,2025-02-07,6,2,2025,63,"Hi Micheal Gary Scott,

As part of the application process for Product Analyst at Stryker, we invite you to take our online assessment.

The assessment evaluates your analytical and problem-solving abilities. It should take about 45 minutes to complete.

Please complete it by April 20, 2025.

[Start Assessment]

Note: Once you begin, the timer will start and cannot be paused.

Thank you,
Stryker",Stryker,Assessment invitation from Stryker,action_required
1702,recruiting@hashicorp.com,"3/25/25, 12:00 AM",2025-03-25 00:00:00,2025-03-25,13,3,2025,17,"Hello Michael Gary Scott,

We've received your application for the DevOps Engineer position at HashiCorp. Thank you for taking the time to apply and for considering joining us.

First of all, our recruiters will take a close look at your resume and cover letter. If your qualifications are a good match for the role, you'll hear from us soon.

In the meantime, feel free to explore other opportunities on our careers page.

Best regards,
The HashiCorp Talent Team",HashiCorp,DevOps Engineer at HashiCorp: we've got your application,in_process
1873,Medtronic HR <hr@medtronic.com>,"2/12/25, 12:00 AM",2025-02-12 00:00:00,2025-02-12,7,2,2025,58,"Hi Micheal Gary Scott,

We received a request to reset your password for your Medtronic careers account.

Click here to reset your password: [Reset Link]

This link expires in 1 hour. If you didn't request this, please ignore this email.

Security Team
Medtronic",Medtronic,Password reset request,unrelated
43,recruiting@vanguard.com,"3/19/25, 12:00 AM",2025-03-19 00:00:00,2025-03-19,12,3,2025,23,"Dear Michael Gary Scott,

It gives me great pleasure to inform you that you have been selected as our new Business Analyst. Congratulations on this well-deserved achievement!

We were thoroughly impressed throughout the interview process and are confident that you will thrive at Vanguard.

Your offer letter with full details is attached. Please don't hesitate to reach out with any questions.

Welcome aboard!

Best regards,
Matthew Walker
Chief People Officer
Vanguard",Vanguard,"Congratulations, Michael Gary Scott!",acceptance
1461,recruiting@lg.com,"2/2/25, 12:00 AM",2025-02-02 00:00:00,2025-02-02,5,2,2025,68,"Hi Michael Gary Scott,

We've received your application for the Technical Program Manager position (Job ID: 788484) at LG. Thank you for your interest in joining our team!

Our hiring team is currently reviewing all applications. We'll be in touch if we'd like to move forward.

We appreciate your patience during this process.

Regards,
The LG Recruiting Team",LG,Application received: Technical Program Manager at LG,in_process
842,recruiting@servicenow.com,"4/30/25, 12:00 AM",2025-04-30 00:00:00,2025-04-30,18,4,2025,-19,"Dear Micheal Gary Scott,

We are pleased to inform you that you have been shortlisted for the Customer Success Manager position at ServiceNow.

We would like to invite you to participate in a virtual panel interview with members of our product team. The interview will consist of both technical and behavioral questions.

Please select a time slot that works for you using the calendar link below.

We look forward to meeting you!

Warm regards,
Jennifer Lee
ServiceNow People Operations",ServiceNow,Congratulations! You've been selected for an interview at ServiceNow,interview
1472,Moderna HR <hr@moderna.com>,"3/12/25, 12:00 AM",2025-03-12 00:00:00,2025-03-12,11,3,2025,30,"Hi Micheal Gary Scott,

We've received your application for the Investment Analyst position (Job ID: 548317) at Moderna. Thank you for your interest in joining our team!

Our hiring team is currently reviewing all applications. We'll be in touch if we'd like to move forward.

We appreciate your patience during this process.

Regards,
The Moderna Recruiting Team",Moderna,Application received: Investment Analyst at Moderna,in_process
1384,Rivian Careers <noreply@rivian.com>,"2/3/25, 12:00 AM",2025-02-03 00:00:00,2025-02-03,6,2,2025,67,"Dear Micheal Gary Scott,

Thank you for your interest in the Systems Analyst role at Rivian. We were pleased with your initial application and would like to invite you to complete the next step in our process.

Please complete the following:
1. Online coding challenge (via CoderPad)
2. Short video introduction (2-3 minutes)

Both must be completed by January 03, 2025.

Access the assessment portal here: [Link]

Reach out if you need accommodations.

Rivian Hiring Team",Rivian,Next Steps: Systems Analyst position at Rivian,action_required
1221,Target HR <hr@target.com>,"4/25/25, 12:00 AM",2025-04-25 00:00:00,2025-04-25,17,4,2025,-14,"Hi Micheal Gary Scott,

As part of the hiring process for the Frontend Engineer position at Target, we need you to complete a background check authorization.

Please click the link below to provide the required information:
[Background Check Portal]

This must be completed by April 08, 2025. The background check typically takes 3-5 business days to process.

If you have questions, contact us at hr@target.com.

Thank you,
Target Human Resources",Target,Background Check Required - Target,action_required
247,Talent Acquisition <careers@thermofisher.com>,"3/14/25, 12:00 AM",2025-03-14 00:00:00,2025-03-14,11,3,2025,28,"Dear Micheal Gary Scott,

It gives me great pleasure to inform you that you have been selected as our new Associate Consultant. Congratulations on this well-deserved achievement!

We were thoroughly impressed throughout the interview process and are confident that you will thrive at Thermo Fisher.

Your offer letter with full details is attached. Please don't hesitate to reach out with any questions.

Welcome aboard!

Best regards,
Christopher Martinez
Chief People Officer
Thermo Fisher",Thermo Fisher,"Congratulations, Micheal Gary Scott!",acceptance
1086,Intercom Careers <noreply@intercom.com>,"4/12/25, 12:00 AM",2025-04-12 00:00:00,2025-04-12,15,4,2025,-1,"Hi Micheal Gary Scott,

As part of the hiring process for the Analytics Engineer position at Intercom, we need you to complete a background check authorization.

Please click the link below to provide the required information:
[Background Check Portal]

This must be completed by February 21, 2025. The background check typically takes 3-5 business days to process.

If you have questions, contact us at hr@intercom.com.

Thank you,
Intercom Human Resources",Intercom,Background Check Required - Intercom,action_required
1549,no-reply@citi.com,"3/24/25, 12:00 AM",2025-03-24 00:00:00,2025-03-24,13,3,2025,18,"Hi Micheal Gary Scott,

We've received your application for the Security Analyst position (Job ID: 599967) at Citi. Thank you for your interest in joining our team!

Our hiring team is currently reviewing all applications. We'll be in touch if we'd like to move forward.

We appreciate your patience during this process.

Regards,
The Citi Recruiting Team",Citi,Application received: Security Analyst at Citi,in_process
367,recruiting@scaleai.com,"4/11/25, 12:00 AM",2025-04-11 00:00:00,2025-04-11,15,4,2025,0,"Hi Micheal Gary Scott,

We wanted to follow up regarding your application for Supply Chain Analyst at Scale AI.

After reviewing all candidates, we have decided to move forward with other applicants for this particular role. We know this isn't the news you were hoping for, and we appreciate the effort you put into your application.

Please don't hesitate to apply for other positions at Scale AI in the future.

All the best,
Scale AI Recruiting",Scale AI,An update on your application,rejection
346,Cisco HR <hr@cisco.com>,"3/29/25, 12:00 AM",2025-03-29 00:00:00,2025-03-29,13,3,2025,13,"Dear Micheal Gary Scott,

Thank you for applying for the DevOps Engineer position at Cisco. At this time, we regret to inform you that we've decided not to move forward with your application.

As a growing organization we always have new positions available and therefore we encourage you to check our careers page regularly.

We appreciate your interest and wish you success in your job search.

Sincerely,
Recruitment Team
Cisco",Cisco,Application Status Update - DevOps Engineer,rejection
1713,Talent Acquisition <careers@honeywell.com>,"3/15/25, 12:00 AM",2025-03-15 00:00:00,2025-03-15,11,3,2025,27,"Dear Michael Gary Scott,

Thank you for your interest in the Compliance Analyst position at Honeywell. We want to let you know that we have received your application materials.

Our recruiting team reviews every application thoroughly. We will be in contact with you regarding the status of your application.

Please do not reply to this automated message.

Sincerely,
Honeywell Human Resources",Honeywell,We received your application for Compliance Analyst,in_process
458,Talent Acquisition <careers@intuitivesurgical.com>,"2/18/25, 12:00 AM",2025-02-18 00:00:00,2025-02-18,8,2,2025,52,"Dear Micheal Gary Scott,

Thank you for your interest in the Applied Scientist position at Intuitive Surgical and for taking the time to apply.

After careful consideration, we regret to inform you that we have decided not to move forward with your application at this time. We received many qualified applicants and this was a difficult decision.

We encourage you to apply for future openings that match your skills and experience. We wish you the best in your career search.

Sincerely,
Intuitive Surgical Talent Acquisition",Intuitive Surgical,Update on your Intuitive Surgical application,rejection
623,recruiting@blackrock.com,"2/18/25, 12:00 AM",2025-02-18 00:00:00,2025-02-18,8,2,2025,52,"Dear Micheal Gary Scott,

Thank you for your interest in the Sales Engineer position at BlackRock and for taking the time to apply.

After careful consideration, we regret to inform you that we have decided not to move forward with your application at this time. We received many qualified applicants and this was a difficult decision.

We encourage you to apply for future openings that match your skills and experience. We wish you the best in your career search.

Sincerely,
BlackRock Talent Acquisition",BlackRock,Update on your BlackRock application,rejection
226,recruiting@blueorigin.com,"1/10/25, 12:00 AM",2025-01-10 00:00:00,2025-01-10,2,1,2025,91,"Michael Gary Scott,

Congratulations on your offer! After a competitive selection process, we are pleased to extend an offer for the Technical Writer position at Blue Origin.

Offer details:
- Annual base: $125,000
- Benefits effective from start date
- Start date: April 17, 2025

Please accept or decline by responding to this email within 5 business days.

Looking forward to your response!

Blue Origin Recruiting",Blue Origin,Job Offer: Technical Writer - Blue Origin,acceptance
143,no-reply@doordash.com,"1/29/25, 12:00 AM",2025-01-29 00:00:00,2025-01-29,5,1,2025,72,"Micheal Gary Scott,

Congratulations on your offer! After a competitive selection process, we are pleased to extend an offer for the Product Manager position at DoorDash.

Offer details:
- Annual base: $115,000
- Benefits effective from start date
- Start date: March 12, 2025

Please accept or decline by responding to this email within 5 business days.

Looking forward to your response!

DoorDash Recruiting",DoorDash,Job Offer: Product Manager - DoorDash,acceptance
418,Adidas HR <hr@adidas.com>,"2/7/25, 12:00 AM",2025-02-07 00:00:00,2025-02-07,6,2,2025,63,"Dear Micheal Gary Scott,

We appreciate your interest in joining Adidas and the time you invested in applying for the UX Researcher position.

After a thorough review of your application, we have determined that we will not be advancing your candidacy at this time. The selection process was highly competitive, and while your background is impressive, we have chosen to pursue candidates whose experience more closely matches our current needs.

We will keep your information on file and may reach out if a suitable opportunity arises.

With best wishes,
Adidas HR Team",Adidas,Regarding your application to Adidas,rejection
612,Talent Acquisition <careers@stryker.com>,"3/6/25, 12:00 AM",2025-03-06 00:00:00,2025-03-06,10,3,2025,36,"Dear Micheal Gary Scott,

Thank you very much for your recent application to the Business Analyst position at Stryker.

Unfortunately, after careful review, we are unable to offer you a position at this time. We had many strong candidates apply and it was not an easy decision.

We genuinely appreciate your interest in Stryker and hope you'll consider us for future opportunities.

Best regards,
Nicole Robinson
Talent Acquisition, Stryker",Stryker,Thank you for applying to Stryker,rejection
732,Charles Schwab HR <hr@charlesschwab.com>,"2/25/25, 12:00 AM",2025-02-25 00:00:00,2025-02-25,9,2,2025,45,"Dear Micheal Gary Scott,

Following our review of your application, we are pleased to invite you to an on-site interview at Charles Schwab for the Backend Engineer position.

Date: March 15, 2025
Location: Charles Schwab Headquarters
Time: 10:00 AM

Your interview day will include:
- Meeting with the hiring manager
- Technical assessment
- Team meet and greet
- Lunch with the team

Please bring a valid photo ID. We will reimburse any travel expenses.

Looking forward to meeting you in person!

Michelle Anderson
Charles Schwab",Charles Schwab,Interview details for Backend Engineer - Charles Schwab,interview
1193,Talent Acquisition <careers@moderna.com>,"3/10/25, 12:00 AM",2025-03-10 00:00:00,2025-03-10,11,3,2025,32,"Hi Micheal Gary Scott,

As part of the application process for AI Engineer at Moderna, we invite you to take our online assessment.

The assessment evaluates your analytical and problem-solving abilities. It should take about 45 minutes to complete.

Please complete it by April 08, 2025.

[Start Assessment]

Note: Once you begin, the timer will start and cannot be paused.

Thank you,
Moderna",Moderna,Assessment invitation from Moderna,action_required
307,Snap Careers <noreply@snap.com>,"1/12/25, 12:00 AM",2025-01-12 00:00:00,2025-01-12,2,1,2025,89,"Dear Michael Gary Scott,

Thank you for applying for the Systems Analyst position at Snap. At this time, we regret to inform you that we've decided not to move forward with your application.

As a growing organization we always have new positions available and therefore we encourage you to check our careers page regularly.

We appreciate your interest and wish you success in your job search.

Sincerely,
Recruitment Team
Snap",Snap,Application Status Update - Systems Analyst,rejection
1300,Talent Acquisition <careers@anthem.com>,"1/15/25, 12:00 AM",2025-01-15 00:00:00,2025-01-15,3,1,2025,86,"Dear Micheal Gary Scott,

You have been invited to complete an assessment for the Operations Analyst position at Anthem.

Assessment Type: Situational Judgment Test
Duration: Approximately 30 minutes
Deadline: March 08, 2025

This assessment helps us understand how you approach workplace scenarios. There are no right or wrong answers.

Click here to begin: [Assessment Link]

Best regards,
Anthem People & Culture",Anthem,Complete Assessment - Anthem Application,action_required
1003,Tesla Careers <noreply@tesla.com>,"4/26/25, 12:00 AM",2025-04-26 00:00:00,2025-04-26,17,4,2025,-15,"Hello Micheal Gary Scott,

Thank you for applying to Tesla for our Cloud Engineer role. We've reviewed your qualifications and would like to set up a call to discuss the opportunity further.

Would you be available for a brief introductory call this week? The conversation would last about 20-30 minutes.

Please let me know what times work best for you.

Thanks,
Thomas Brown
Tesla",Tesla,Tesla - Interview Request,interview
1780,recruiting@paypal.com,"2/1/25, 12:00 AM",2025-02-01 00:00:00,2025-02-01,5,2,2025,69,"Hello Michael Gary Scott,

We've received your application for the Operations Analyst position at PayPal. Thank you for taking the time to apply and for considering joining us.

First of all, our recruiters will take a close look at your resume and cover letter. If your qualifications are a good match for the role, you'll hear from us soon.

In the meantime, feel free to explore other opportunities on our careers page.

Best regards,
The PayPal Talent Team",PayPal,Operations Analyst at PayPal: we've got your application,in_process
1831,BCG HR <hr@bcg.com>,"3/14/25, 12:00 AM",2025-03-14 00:00:00,2025-03-14,11,3,2025,28,"Hi Michael Gary Scott,

New jobs matching your saved search:

AI Engineer - Monday.com (Remote)
Investment Analyst - Twitter (Hybrid)
Strategy Analyst - GitHub (On-site)

Don't miss out - apply today!

Manage alerts | Unsubscribe

LinkedIn Jobs",BCG,Job alert: Actuarial Analyst positions near you,unrelated
1154,Twitter Careers <noreply@twitter.com>,"4/27/25, 12:00 AM",2025-04-27 00:00:00,2025-04-27,17,4,2025,-16,"Hi Michael Gary Scott,

As part of the application process for Risk Analyst at Twitter, we invite you to take our online assessment.

The assessment evaluates your analytical and problem-solving abilities. It should take about 45 minutes to complete.

Please complete it by March 20, 2025.

[Start Assessment]

Note: Once you begin, the timer will start and cannot be paused.

Thank you,
Twitter",Twitter,Assessment invitation from Twitter,action_required
475,Home Depot HR <hr@homedepot.com>,"3/10/25, 12:00 AM",2025-03-10 00:00:00,2025-03-10,11,3,2025,32,"Hi Michael Gary Scott,

Thank you for your interest in Home Depot! Unfortunately, we have decided not to proceed with your candidacy for the current Clinical Data Analyst opening. We received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role.

This does not reflect on your qualifications, and we encourage you to apply again in the future.

Wishing you the best,
Ryan Allen
Home Depot",Home Depot,Application follow-up: Home Depot,rejection
1555,recruiting@raytheon.com,"3/7/25, 12:00 AM",2025-03-07 00:00:00,2025-03-07,10,3,2025,35,"Hello Michael Gary Scott,

We've received your application for the Biostatistician position at Raytheon. Thank you for taking the time to apply and for considering joining us.

First of all, our recruiters will take a close look at your resume and cover letter. If your qualifications are a good match for the role, you'll hear from us soon.

In the meantime, feel free to explore other opportunities on our careers page.

Best regards,
The Raytheon Talent Team",Raytheon,Biostatistician at Raytheon: we've got your application,in_process
1900,Talent Acquisition <careers@amazon.com>,"3/2/25, 12:00 AM",2025-03-02 00:00:00,2025-03-02,9,3,2025,40,"Hi Micheal Gary Scott,

New jobs matching your saved search:

Clinical Data Analyst - Waters Corporation (Remote)
Customer Success Manager - CVS Health (Hybrid)
Senior Software Engineer - Nike (On-site)

Don't miss out - apply today!

Manage alerts | Unsubscribe

LinkedIn Jobs",Amazon,Job alert: Risk Analyst positions near you,unrelated
667,Lockheed Martin HR <hr@lockheedmartin.com>,"2/13/25, 12:00 AM",2025-02-13 00:00:00,2025-02-13,7,2,2025,57,"Dear Micheal Gary Scott,

Thank you very much for your recent application to the AI Engineer position at Lockheed Martin.

Unfortunately, after careful review, we are unable to offer you a position at this time. We had many strong candidates apply and it was not an easy decision.

We genuinely appreciate your interest in Lockheed Martin and hope you'll consider us for future opportunities.

Best regards,
David Rodriguez
Talent Acquisition, Lockheed Martin",Lockheed Martin,Thank you for applying to Lockheed Martin,rejection
532,recruiting@google.com,"1/10/25, 12:00 AM",2025-01-10 00:00:00,2025-01-10,2,1,2025,91,"Michael Gary Scott,

Thank you for your time and interest in the Product Analyst role at Google. After careful evaluation, we've decided not to proceed with your application. This was a competitive search and we had to make some tough choices.

Your resume will remain in our database for future consideration.

Regards,
Google Talent Team",Google,Google - Application Decision,rejection
