company,subject,date_only,email_body,rule_label,rule_confidence,final_label,sentiment_label,sentiment_compound,extracted_role,contact_person,contact_email,dates_mentioned,summary
Asana,Application received: Backend Engineer at Asana,2025-03-14,"Hi Michael Gary Scott,

We've received your application for the Backend Engineer position (Job ID: 397189) at Asana. Thank you for your interest in joining our team!

Our hiring team is currently reviewing all applications. We'll be in touch if we'd like to move forward.

We appreciate your patience during this process.

Regards,
The Asana Recruiting Team",in_process,0.85,in_process,neutral,0.0,Backend Engineer,,,,"hi michael gary scott, we've received your application for the backend engineer position job id: 397189 at asana. thank you for your interest in joining our team!"
Stryker,Assessment invitation from Stryker,2025-02-07,"Hi Micheal Gary Scott,

As part of the application process for Product Analyst at Stryker, we invite you to take our online assessment.

The assessment evaluates your analytical and problem-solving abilities. It should take about 45 minutes to complete.

Please complete it by April 20, 2025.

[Start Assessment]

Note: Once you begin, the timer will start and cannot be paused.

Thank you,
Stryker",action_required,0.95,action_required,negative,-1.0,,,,"April 20, 2025","hi micheal gary scott, as part of the application process for product analyst at stryker, we invite you to take our online assessment. the assessment evaluates your analytical and problem-solving abilities."
HashiCorp,DevOps Engineer at HashiCorp: we've got your application,2025-03-25,"Hello Michael Gary Scott,

We've received your application for the DevOps Engineer position at HashiCorp. Thank you for taking the time to apply and for considering joining us.

First of all, our recruiters will take a close look at your resume and cover letter. If your qualifications are a good match for the role, you'll hear from us soon.

In the meantime, feel free to explore other opportunities on our careers page.

Best regards,
The HashiCorp Talent Team",in_process,0.7,in_process,neutral,0.0,DevOps Engineer,The Hashi,,,"hello michael gary scott, we've received your application for the devops engineer position at hashicorp. thank you for taking the time to apply and for considering joining us."
Medtronic,Password reset request,2025-02-12,"Hi Micheal Gary Scott,

We received a request to reset your password for your Medtronic careers account.

Click here to reset your password: [Reset Link]

This link expires in 1 hour. If you didn't request this, please ignore this email.

Security Team
Medtronic",unrelated,0.95,unrelated,neutral,0.0,,,,,"hi micheal gary scott, we received a request to reset your password for your medtronic careers account. if you didn't request this, please ignore this email."
Vanguard,"Congratulations, Michael Gary Scott!",2025-03-19,"Dear Michael Gary Scott,

It gives me great pleasure to inform you that you have been selected as our new Business Analyst. Congratulations on this well-deserved achievement!

We were thoroughly impressed throughout the interview process and are confident that you will thrive at Vanguard.

Your offer letter with full details is attached. Please don't hesitate to reach out with any questions.

Welcome aboard!

Best regards,
Matthew Walker
Chief People Officer
Vanguard",acceptance,0.95,acceptance,positive,1.0,,Matthew Walker,,,congratulations on this well-deserved achievement! we were thoroughly impressed throughout the interview process and are confident that you will thrive at vanguard.
LG,Application received: Technical Program Manager at LG,2025-02-02,"Hi Michael Gary Scott,

We've received your application for the Technical Program Manager position (Job ID: 788484) at LG. Thank you for your interest in joining our team!

Our hiring team is currently reviewing all applications. We'll be in touch if we'd like to move forward.

We appreciate your patience during this process.

Regards,
The LG Recruiting Team",in_process,0.85,in_process,neutral,0.0,Technical Program Manager,,,,"hi michael gary scott, we've received your application for the technical program manager position job id: 788484 at lg. thank you for your interest in joining our team!"
ServiceNow,Congratulations! You've been selected for an interview at ServiceNow,2025-04-30,"Dear Micheal Gary Scott,

We are pleased to inform you that you have been shortlisted for the Customer Success Manager position at ServiceNow.

We would like to invite you to participate in a virtual panel interview with members of our product team. The interview will consist of both technical and behavioral questions.

Please select a time slot that works for you using the calendar link below.

We look forward to meeting you!

Warm regards,
Jennifer Lee
ServiceNow People Operations",interview,0.95,interview,positive,1.0,Customer Success Manager,Jennifer Lee,,,"dear micheal gary scott, we are pleased to inform you that you have been shortlisted for the customer success manager position at servicenow. we would like to invite you to participate in a virtual panel interview with members of our product team."
Moderna,Application received: Investment Analyst at Moderna,2025-03-12,"Hi Micheal Gary Scott,

We've received your application for the Investment Analyst position (Job ID: 548317) at Moderna. Thank you for your interest in joining our team!

Our hiring team is currently reviewing all applications. We'll be in touch if we'd like to move forward.

We appreciate your patience during this process.

Regards,
The Moderna Recruiting Team",in_process,0.85,in_process,neutral,0.0,Investment Analyst,,,,"hi micheal gary scott, we've received your application for the investment analyst position job id: 548317 at moderna. thank you for your interest in joining our team!"
Rivian,Next Steps: Systems Analyst position at Rivian,2025-02-03,"Dear Micheal Gary Scott,

Thank you for your interest in the Systems Analyst role at Rivian. We were pleased with your initial application and would like to invite you to complete the next step in our process.

Please complete the following:
1. Online coding challenge (via CoderPad)
2. Short video introduction (2-3 minutes)

Both must be completed by January 03, 2025.

Access the assessment portal here: [Link]

Reach out if you need accommodations.

Rivian Hiring Team",action_required,0.95,action_required,positive,1.0,Systems Analyst,,,"January 03, 2025","dear micheal gary scott, thank you for your interest in the systems analyst role at rivian. we were pleased with your initial application and would like to invite you to complete the next step in our process."
Target,Background Check Required - Target,2025-04-25,"Hi Micheal Gary Scott,

As part of the hiring process for the Frontend Engineer position at Target, we need you to complete a background check authorization.

Please click the link below to provide the required information:
[Background Check Portal]

This must be completed by April 08, 2025. The background check typically takes 3-5 business days to process.

If you have questions, contact us at hr@target.com.

Thank you,
Target Human Resources",action_required,0.85,action_required,neutral,0.0,Frontend Engineer,,hr@target.com.,"April 08, 2025","hi micheal gary scott, as part of the hiring process for the frontend engineer position at target, we need you to complete a background check authorization. please click the link below to provide the required information: background check portal this must be completed by april 08, 2025."
Thermo Fisher,"Congratulations, Micheal Gary Scott!",2025-03-14,"Dear Micheal Gary Scott,

It gives me great pleasure to inform you that you have been selected as our new Associate Consultant. Congratulations on this well-deserved achievement!

We were thoroughly impressed throughout the interview process and are confident that you will thrive at Thermo Fisher.

Your offer letter with full details is attached. Please don't hesitate to reach out with any questions.

Welcome aboard!

Best regards,
Christopher Martinez
Chief People Officer
Thermo Fisher",acceptance,0.95,acceptance,positive,1.0,,Christopher Martinez,,,congratulations on this well-deserved achievement! we were thoroughly impressed throughout the interview process and are confident that you will thrive at thermo fisher.
Intercom,Background Check Required - Intercom,2025-04-12,"Hi Micheal Gary Scott,

As part of the hiring process for the Analytics Engineer position at Intercom, we need you to complete a background check authorization.

Please click the link below to provide the required information:
[Background Check Portal]

This must be completed by February 21, 2025. The background check typically takes 3-5 business days to process.

If you have questions, contact us at hr@intercom.com.

Thank you,
Intercom Human Resources",action_required,0.85,action_required,neutral,0.0,Analytics Engineer,,hr@intercom.com.,"February 21, 2025","hi micheal gary scott, as part of the hiring process for the analytics engineer position at intercom, we need you to complete a background check authorization. please click the link below to provide the required information: background check portal this must be completed by february 21, 2025."
Citi,Application received: Security Analyst at Citi,2025-03-24,"Hi Micheal Gary Scott,

We've received your application for the Security Analyst position (Job ID: 599967) at Citi. Thank you for your interest in joining our team!

Our hiring team is currently reviewing all applications. We'll be in touch if we'd like to move forward.

We appreciate your patience during this process.

Regards,
The Citi Recruiting Team",in_process,0.85,in_process,neutral,0.0,Security Analyst,,,,"hi micheal gary scott, we've received your application for the security analyst position job id: 599967 at citi. thank you for your interest in joining our team!"
Scale AI,An update on your application,2025-04-11,"Hi Micheal Gary Scott,

We wanted to follow up regarding your application for Supply Chain Analyst at Scale AI.

After reviewing all candidates, we have decided to move forward with other applicants for this particular role. We know this isn't the news you were hoping for, and we appreciate the effort you put into your application.

Please don't hesitate to apply for other positions at Scale AI in the future.

All the best,
Scale AI Recruiting",rejection,0.95,rejection,neutral,0.0,,,,,"hi micheal gary scott, we wanted to follow up regarding your application for supply chain analyst at scale ai. after reviewing all candidates, we have decided to move forward with other applicants for this particular role."
Cisco,Application Status Update - DevOps Engineer,2025-03-29,"Dear Micheal Gary Scott,

Thank you for applying for the DevOps Engineer position at Cisco. At this time, we regret to inform you that we've decided not to move forward with your application.

As a growing organization we always have new positions available and therefore we encourage you to check our careers page regularly.

We appreciate your interest and wish you success in your job search.

Sincerely,
Recruitment Team
Cisco",rejection,0.95,rejection,negative,-1.0,DevOps Engineer,,,,"dear micheal gary scott, thank you for applying for the devops engineer position at cisco. at this time, we regret to inform you that we've decided not to move forward with your application."
Honeywell,We received your application for Compliance Analyst,2025-03-15,"Dear Michael Gary Scott,

Thank you for your interest in the Compliance Analyst position at Honeywell. We want to let you know that we have received your application materials.

Our recruiting team reviews every application thoroughly. We will be in contact with you regarding the status of your application.

Please do not reply to this automated message.

Sincerely,
Honeywell Human Resources",in_process,0.85,in_process,neutral,0.0,Compliance Analyst,,,,"dear michael gary scott, thank you for your interest in the compliance analyst position at honeywell. we want to let you know that we have received your application materials."
Intuitive Surgical,Update on your Intuitive Surgical application,2025-02-18,"Dear Micheal Gary Scott,

Thank you for your interest in the Applied Scientist position at Intuitive Surgical and for taking the time to apply.

After careful consideration, we regret to inform you that we have decided not to move forward with your application at this time. We received many qualified applicants and this was a difficult decision.

We encourage you to apply for future openings that match your skills and experience. We wish you the best in your career search.

Sincerely,
Intuitive Surgical Talent Acquisition",rejection,0.95,rejection,negative,-0.6667,Applied Scientist,,,,"dear micheal gary scott, thank you for your interest in the applied scientist position at intuitive surgical and for taking the time to apply. after careful consideration, we regret to inform you that we have decided not to move forward with your application at this time."
BlackRock,Update on your BlackRock application,2025-02-18,"Dear Micheal Gary Scott,

Thank you for your interest in the Sales Engineer position at BlackRock and for taking the time to apply.

After careful consideration, we regret to inform you that we have decided not to move forward with your application at this time. We received many qualified applicants and this was a difficult decision.

We encourage you to apply for future openings that match your skills and experience. We wish you the best in your career search.

Sincerely,
BlackRock Talent Acquisition",rejection,0.95,rejection,negative,-0.6667,Sales Engineer,,,,"dear micheal gary scott, thank you for your interest in the sales engineer position at blackrock and for taking the time to apply. after careful consideration, we regret to inform you that we have decided not to move forward with your application at this time."
Blue Origin,Job Offer: Technical Writer - Blue Origin,2025-01-10,"Michael Gary Scott,

Congratulations on your offer! After a competitive selection process, we are pleased to extend an offer for the Technical Writer position at Blue Origin.

Offer details:
- Annual base: $125,000
- Benefits effective from start date
- Start date: April 17, 2025

Please accept or decline by responding to this email within 5 business days.

Looking forward to your response!

Blue Origin Recruiting",acceptance,0.95,acceptance,positive,0.7143,Technical Writer,,,"April 17, 2025","michael gary scott, congratulations on your offer! after a competitive selection process, we are pleased to extend an offer for the technical writer position at blue origin."
DoorDash,Job Offer: Product Manager - DoorDash,2025-01-29,"Micheal Gary Scott,

Congratulations on your offer! After a competitive selection process, we are pleased to extend an offer for the Product Manager position at DoorDash.

Offer details:
- Annual base: $115,000
- Benefits effective from start date
- Start date: March 12, 2025

Please accept or decline by responding to this email within 5 business days.

Looking forward to your response!

DoorDash Recruiting",acceptance,0.95,acceptance,positive,0.7143,Product Manager,,,"March 12, 2025","micheal gary scott, congratulations on your offer! after a competitive selection process, we are pleased to extend an offer for the product manager position at doordash."
Adidas,Regarding your application to Adidas,2025-02-07,"Dear Micheal Gary Scott,

We appreciate your interest in joining Adidas and the time you invested in applying for the UX Researcher position.

After a thorough review of your application, we have determined that we will not be advancing your candidacy at this time. The selection process was highly competitive, and while your background is impressive, we have chosen to pursue candidates whose experience more closely matches our current needs.

We will keep your information on file and may reach out if a suitable opportunity arises.

With best wishes,
Adidas HR Team",rejection,0.95,rejection,neutral,0.0,UX Researcher,,,,"dear micheal gary scott, we appreciate your interest in joining adidas and the time you invested in applying for the ux researcher position. after a thorough review of your application, we have determined that we will not be advancing your candidacy at this time."
Stryker,Thank you for applying to Stryker,2025-03-06,"Dear Micheal Gary Scott,

Thank you very much for your recent application to the Business Analyst position at Stryker.

Unfortunately, after careful review, we are unable to offer you a position at this time. We had many strong candidates apply and it was not an easy decision.

We genuinely appreciate your interest in Stryker and hope you'll consider us for future opportunities.

Best regards,
Nicole Robinson
Talent Acquisition, Stryker",rejection,0.95,rejection,neutral,0.0,Business Analyst,Nicole Robinson,,,"dear micheal gary scott, thank you very much for your recent application to the business analyst position at stryker. unfortunately, after careful review, we are unable to offer you a position at this time."
Charles Schwab,Interview details for Backend Engineer - Charles Schwab,2025-02-25,"Dear Micheal Gary Scott,

Following our review of your application, we are pleased to invite you to an on-site interview at Charles Schwab for the Backend Engineer position.

Date: March 15, 2025
Location: Charles Schwab Headquarters
Time: 10:00 AM

Your interview day will include:
- Meeting with the hiring manager
- Technical assessment
- Team meet and greet
- Lunch with the team

Please bring a valid photo ID. We will reimburse any travel expenses.

Looking forward to meeting you in person!

Michelle Anderson
Charles Schwab",interview,0.85,interview,positive,1.0,,,,"March 15, 2025","dear micheal gary scott, following our review of your application, we are pleased to invite you to an on-site interview at charles schwab for the backend engineer position. date: march 15, 2025 location: charles schwab headquarters time: 10:00 am your interview day will include: - meeting with the hiring manager - technical assessment - team meet and greet - lunch with the team please bring a valid photo id."
Moderna,Assessment invitation from Moderna,2025-03-10,"Hi Micheal Gary Scott,

As part of the application process for AI Engineer at Moderna, we invite you to take our online assessment.

The assessment evaluates your analytical and problem-solving abilities. It should take about 45 minutes to complete.

Please complete it by April 08, 2025.

[Start Assessment]

Note: Once you begin, the timer will start and cannot be paused.

Thank you,
Moderna",action_required,0.95,action_required,negative,-1.0,,,,"April 08, 2025","hi micheal gary scott, as part of the application process for ai engineer at moderna, we invite you to take our online assessment. the assessment evaluates your analytical and problem-solving abilities."
Snap,Application Status Update - Systems Analyst,2025-01-12,"Dear Michael Gary Scott,

Thank you for applying for the Systems Analyst position at Snap. At this time, we regret to inform you that we've decided not to move forward with your application.

As a growing organization we always have new positions available and therefore we encourage you to check our careers page regularly.

We appreciate your interest and wish you success in your job search.

Sincerely,
Recruitment Team
Snap",rejection,0.95,rejection,negative,-1.0,Systems Analyst,,,,"dear michael gary scott, thank you for applying for the systems analyst position at snap. at this time, we regret to inform you that we've decided not to move forward with your application."
Anthem,Complete Assessment - Anthem Application,2025-01-15,"Dear Micheal Gary Scott,

You have been invited to complete an assessment for the Operations Analyst position at Anthem.

Assessment Type: Situational Judgment Test
Duration: Approximately 30 minutes
Deadline: March 08, 2025

This assessment helps us understand how you approach workplace scenarios. There are no right or wrong answers.

Click here to begin: [Assessment Link]

Best regards,
Anthem People & Culture",action_required,0.85,action_required,neutral,0.0,Operations Analyst,Anthem People,,"March 08, 2025","dear micheal gary scott, you have been invited to complete an assessment for the operations analyst position at anthem. assessment type: situational judgment test duration: approximately 30 minutes deadline: march 08, 2025 this assessment helps us understand how you approach workplace scenarios."
